# taxon distribution range models
# data save on : 2024-04-24T10:35:01-05:00
taxon	type	age	equator	pixel	density
Acer campestre	points	0	120	254	1.000000
Acer campestre	points	0	120	310	1.000000
Acer campestre	points	0	120	311	1.000000
Acer campestre	points	0	120	372	1.000000
Acer campestre	points	0	120	373	1.000000
Acer campestre	points	0	120	437	1.000000
Acer campestre	points	0	120	438	1.000000
Acer campestre	points	0	120	439	1.000000
Acer campestre	points	0	120	440	1.000000
Acer campestre	points	0	120	441	1.000000
Acer campestre	points	0	120	442	1.000000
Acer campestre	points	0	120	443	1.000000
Acer campestre	points	0	120	511	1.000000
Acer campestre	points	0	120	512	1.000000
Acer campestre	points	0	120	513	1.000000
Acer campestre	points	0	120	514	1.000000
Acer campestre	points	0	120	515	1.000000
Acer campestre	points	0	120	516	1.000000
Acer campestre	points	0	120	518	1.000000
Acer campestre	points	0	120	519	1.000000
Acer campestre	points	0	120	590	1.000000
Acer campestre	points	0	120	591	1.000000
Acer campestre	points	0	120	592	1.000000
Acer campestre	points	0	120	593	1.000000
Acer campestre	points	0	120	594	1.000000
Acer campestre	points	0	120	595	1.000000
Acer campestre	points	0	120	596	1.000000
Acer campestre	points	0	120	597	1.000000
Acer campestre	points	0	120	598	1.000000
Acer campestre	points	0	120	599	1.000000
Acer campestre	points	0	120	670	1.000000
Acer campestre	points	0	120	671	1.000000
Acer campestre	points	0	120	672	1.000000
Acer campestre	points	0	120	673	1.000000
Acer campestre	points	0	120	674	1.000000
Acer campestre	points	0	120	675	1.000000
Acer campestre	points	0	120	676	1.000000
Acer campestre	points	0	120	677	1.000000
Acer campestre	points	0	120	678	1.000000
Acer campestre	points	0	120	679	1.000000
Acer campestre	points	0	120	680	1.000000
Acer campestre	points	0	120	757	1.000000
Acer campestre	points	0	120	758	1.000000
Acer campestre	points	0	120	759	1.000000
Acer campestre	points	0	120	760	1.000000
Acer campestre	points	0	120	761	1.000000
Acer campestre	points	0	120	762	1.000000
Acer campestre	points	0	120	763	1.000000
Acer campestre	points	0	120	764	1.000000
Acer campestre	points	0	120	765	1.000000
Acer campestre	points	0	120	766	1.000000
Acer campestre	points	0	120	767	1.000000
Acer campestre	points	0	120	768	1.000000
Acer campestre	points	0	120	770	1.000000
Acer campestre	points	0	120	771	1.000000
Acer campestre	points	0	120	772	1.000000
Acer campestre	points	0	120	777	1.000000
Acer campestre	points	0	120	848	1.000000
Acer campestre	points	0	120	849	1.000000
Acer campestre	points	0	120	850	1.000000
Acer campestre	points	0	120	853	1.000000
Acer campestre	points	0	120	854	1.000000
Acer campestre	points	0	120	855	1.000000
Acer campestre	points	0	120	856	1.000000
Acer campestre	points	0	120	862	1.000000
Acer campestre	points	0	120	863	1.000000
Acer campestre	points	0	120	944	1.000000
Acer campestre	points	0	120	945	1.000000
Acer campestre	points	0	120	949	1.000000
Acer palmatum	points	0	120	706	1.000000
Acer palmatum	points	0	120	793	1.000000
Acer palmatum	points	0	120	794	1.000000
Acer palmatum	points	0	120	795	1.000000
Acer palmatum	points	0	120	883	1.000000
Acer palmatum	points	0	120	884	1.000000
Acer palmatum	points	0	120	885	1.000000
Acer palmatum	points	0	120	886	1.000000
Acer palmatum	points	0	120	887	1.000000
Acer palmatum	points	0	120	980	1.000000
Acer palmatum	points	0	120	981	1.000000
Acer palmatum	points	0	120	982	1.000000
Acer palmatum	points	0	120	983	1.000000
Acer palmatum	points	0	120	984	1.000000
Acer palmatum	points	0	120	1079	1.000000
Acer palmatum	points	0	120	1080	1.000000
Acer palmatum	points	0	120	1081	1.000000
Acer palmatum	points	0	120	1082	1.000000
Acer palmatum	points	0	120	1083	1.000000
Acer palmatum	points	0	120	1404	1.000000
Acer rubrum	points	0	120	424	1.000000
Acer rubrum	points	0	120	484	1.000000
Acer rubrum	points	0	120	492	1.000000
Acer rubrum	points	0	120	493	1.000000
Acer rubrum	points	0	120	495	1.000000
Acer rubrum	points	0	120	497	1.000000
Acer rubrum	points	0	120	498	1.000000
Acer rubrum	points	0	120	563	1.000000
Acer rubrum	points	0	120	569	1.000000
Acer rubrum	points	0	120	570	1.000000
Acer rubrum	points	0	120	571	1.000000
Acer rubrum	points	0	120	572	1.000000
Acer rubrum	points	0	120	573	1.000000
Acer rubrum	points	0	120	574	1.000000
Acer rubrum	points	0	120	575	1.000000
Acer rubrum	points	0	120	576	1.000000
Acer rubrum	points	0	120	577	1.000000
Acer rubrum	points	0	120	578	1.000000
Acer rubrum	points	0	120	643	1.000000
Acer rubrum	points	0	120	647	1.000000
Acer rubrum	points	0	120	650	1.000000
Acer rubrum	points	0	120	651	1.000000
Acer rubrum	points	0	120	652	1.000000
Acer rubrum	points	0	120	653	1.000000
Acer rubrum	points	0	120	654	1.000000
Acer rubrum	points	0	120	655	1.000000
Acer rubrum	points	0	120	656	1.000000
Acer rubrum	points	0	120	657	1.000000
Acer rubrum	points	0	120	658	1.000000
Acer rubrum	points	0	120	729	1.000000
Acer rubrum	points	0	120	732	1.000000
Acer rubrum	points	0	120	736	1.000000
Acer rubrum	points	0	120	737	1.000000
Acer rubrum	points	0	120	738	1.000000
Acer rubrum	points	0	120	739	1.000000
Acer rubrum	points	0	120	740	1.000000
Acer rubrum	points	0	120	741	1.000000
Acer rubrum	points	0	120	742	1.000000
Acer rubrum	points	0	120	743	1.000000
Acer rubrum	points	0	120	818	1.000000
Acer rubrum	points	0	120	819	1.000000
Acer rubrum	points	0	120	821	1.000000
Acer rubrum	points	0	120	823	1.000000
Acer rubrum	points	0	120	825	1.000000
Acer rubrum	points	0	120	826	1.000000
Acer rubrum	points	0	120	827	1.000000
Acer rubrum	points	0	120	828	1.000000
Acer rubrum	points	0	120	829	1.000000
Acer rubrum	points	0	120	830	1.000000
Acer rubrum	points	0	120	831	1.000000
Acer rubrum	points	0	120	913	1.000000
Acer rubrum	points	0	120	920	1.000000
Acer rubrum	points	0	120	921	1.000000
Acer rubrum	points	0	120	922	1.000000
Acer rubrum	points	0	120	923	1.000000
Acer rubrum	points	0	120	924	1.000000
Acer rubrum	points	0	120	925	1.000000
Acer rubrum	points	0	120	1011	1.000000
Acer rubrum	points	0	120	1017	1.000000
Acer rubrum	points	0	120	1018	1.000000
Acer rubrum	points	0	120	1019	1.000000
Acer rubrum	points	0	120	1020	1.000000
Acer rubrum	points	0	120	1021	1.000000
Acer rubrum	points	0	120	1022	1.000000
Acer rubrum	points	0	120	1119	1.000000
Acer rubrum	points	0	120	1120	1.000000
Acer rubrum	points	0	120	1121	1.000000
Acer rubrum	points	0	120	1122	1.000000
Acer rubrum	points	0	120	1123	1.000000
Acer rubrum	points	0	120	1124	1.000000
Acer rubrum	points	0	120	1227	1.000000
Acer rubrum	points	0	120	1228	1.000000
Aesculus chinensis	points	0	120	790	1.000000
Aesculus chinensis	points	0	120	880	1.000000
Aesculus chinensis	points	0	120	881	1.000000
Aesculus chinensis	points	0	120	973	1.000000
Aesculus chinensis	points	0	120	976	1.000000
Aesculus chinensis	points	0	120	1073	1.000000
Aesculus chinensis	points	0	120	1074	1.000000
Aesculus chinensis	points	0	120	1075	1.000000
Aesculus chinensis	points	0	120	1076	1.000000
Aesculus chinensis	points	0	120	1177	1.000000
Aesculus chinensis	points	0	120	1178	1.000000
Aesculus chinensis	points	0	120	1179	1.000000
Aesculus chinensis	points	0	120	1180	1.000000
Aesculus chinensis	points	0	120	1181	1.000000
Aesculus chinensis	points	0	120	1182	1.000000
Aesculus chinensis	points	0	120	1282	1.000000
Aesculus chinensis	points	0	120	1283	1.000000
Aesculus chinensis	points	0	120	1284	1.000000
Aesculus chinensis	points	0	120	1285	1.000000
Aesculus chinensis	points	0	120	1286	1.000000
Aesculus chinensis	points	0	120	1287	1.000000
Aesculus chinensis	points	0	120	1392	1.000000
Aesculus chinensis	points	0	120	1393	1.000000
Aesculus chinensis	points	0	120	1394	1.000000
Aesculus chinensis	points	0	120	1396	1.000000
Aesculus chinensis	points	0	120	1503	1.000000
Aesculus pavia	points	0	120	563	1.000000
Aesculus pavia	points	0	120	643	1.000000
Aesculus pavia	points	0	120	737	1.000000
Aesculus pavia	points	0	120	738	1.000000
Aesculus pavia	points	0	120	740	1.000000
Aesculus pavia	points	0	120	741	1.000000
Aesculus pavia	points	0	120	742	1.000000
Aesculus pavia	points	0	120	819	1.000000
Aesculus pavia	points	0	120	823	1.000000
Aesculus pavia	points	0	120	826	1.000000
Aesculus pavia	points	0	120	827	1.000000
Aesculus pavia	points	0	120	829	1.000000
Aesculus pavia	points	0	120	830	1.000000
Aesculus pavia	points	0	120	831	1.000000
Aesculus pavia	points	0	120	913	1.000000
Aesculus pavia	points	0	120	920	1.000000
Aesculus pavia	points	0	120	921	1.000000
Aesculus pavia	points	0	120	922	1.000000
Aesculus pavia	points	0	120	923	1.000000
Aesculus pavia	points	0	120	924	1.000000
Aesculus pavia	points	0	120	925	1.000000
Aesculus pavia	points	0	120	1017	1.000000
Aesculus pavia	points	0	120	1018	1.000000
Aesculus pavia	points	0	120	1019	1.000000
Aesculus pavia	points	0	120	1020	1.000000
Aesculus pavia	points	0	120	1021	1.000000
Aesculus pavia	points	0	120	1022	1.000000
Aesculus pavia	points	0	120	1118	1.000000
Aesculus pavia	points	0	120	1119	1.000000
Aesculus pavia	points	0	120	1120	1.000000
Aesculus pavia	points	0	120	1121	1.000000
Aesculus pavia	points	0	120	1122	1.000000
Aesculus pavia	points	0	120	1123	1.000000
Aesculus pavia	points	0	120	1124	1.000000
Aesculus pavia	points	0	120	1227	1.000000
Aesculus pavia	points	0	120	1228	1.000000
Alatococcus siqueirae	points	0	120	3101	1.000000
Alatococcus siqueirae	points	0	120	3210	1.000000
Alectryon carinatus	points	0	120	3165	1.000000
Alectryon carinatus	points	0	120	3166	1.000000
Alectryon carinatus	points	0	120	3276	1.000000
Allophylastrum frutescens	points	0	120	2152	1.000000
Allophylastrum frutescens	points	0	120	2153	1.000000
Allophylus arboreus	points	0	120	2785	1.000000
Allophylus arboreus	points	0	120	2901	1.000000
Allophylus arboreus	points	0	120	2902	1.000000
Allophylus arboreus	points	0	120	3016	1.000000
Allophylus arboreus	points	0	120	3017	1.000000
Allophylus arboreus	points	0	120	3128	1.000000
Allophylus arboreus	points	0	120	3239	1.000000
Allophylus arboreus	points	0	120	3240	1.000000
Allophylus trichodesmus	points	0	120	2785	1.000000
Allophylus trichodesmus	points	0	120	2786	1.000000
Allophylus trichodesmus	points	0	120	2901	1.000000
Allophylus trichodesmus	points	0	120	2902	1.000000
